Date,Open,High,Low,Close ,Adj Close ,Volume
2025-05-06,"1,129.43","1,147.66","1,126.40","1,137.69","1,137.69",3204895.00
2025-05-05,"1,114.80","1,144.02","1,107.01","1,134.06","1,134.06",5662300.00
2025-05-02,"1,136.66","1,159.44","1,133.32","1,156.49","1,156.49",3774300.00
2025-05-01,"1,122.52","1,142.42","1,111.83","1,133.47","1,133.47",3499500.00
2025-04-30,"1,112.65","1,133.20","1,101.11","1,131.72","1,131.72",4266700.00
2025-04-29,"1,103.92","1,127.81","1,095.48","1,125.64","1,125.64",3777300.00
2025-04-28,"1,100.00","1,114.00","1,082.62","1,110.38","1,110.38",3831100.00
2025-04-25,"1,097.04","1,106.80","1,091.00","1,101.53","1,101.53",3950000.00
2025-04-24,"1,048.00","1,101.00","1,047.02","1,096.87","1,096.87",6381900.00
2025-04-23,"1,047.22","1,061.25","1,032.00","1,049.59","1,049.59",6471900.00
2025-04-22,"1,005.30","1,064.97","1,004.52","1,040.34","1,040.34",9368900.00
2025-04-21,984.4,"1,019.00",973.05,987.91,987.91,9775700.00
2025-04-17,969,984.7,956,973.03,973.03,8763200.00
2025-04-16,976.28,981.21,949.17,961.63,961.63,6066100.00
2025-04-15,950,993.45,948,976.28,976.28,7712000.00
2025-04-14,932.7,948.98,919.5,931.28,931.28,4035900.00
2025-04-11,920,944.86,906.68,918.29,918.29,4073600.00
2025-04-10,931.94,941.24,894,921.17,921.17,5129800.00
2025-04-09,855.93,951.43,854.4,945.47,945.47,7498000.00
2025-04-08,912.44,922.42,857.7,870.4,870.4,5625400.00
2025-04-07,827.85,906.74,821.1,867.83,867.83,6656800.00
2025-04-04,896.5,906.63,853.87,855.86,855.86,6798800.00
2025-04-03,901.8,946.59,900.47,917.05,917.05,5864600.00
2025-04-02,923,949.55,916.11,935.52,935.52,3256900.00
2025-04-01,927.5,932.29,911.5,928.38,928.38,3520000.00
2025-03-31,920.53,934.48,900.59,932.53,932.53,4634100.00
2025-03-28,972,974.98,929.23,933.85,933.85,4422700.00
2025-03-27,974.22,989,966.37,976.72,976.72,3047200.00
2025-03-26,993.81,996.79,966.32,970.65,970.65,3527400.00
2025-03-25,978.18,998.7,977.11,997.28,997.28,3782200.00
2025-03-24,969.67,977,951.55,971.99,971.99,4677900.00
2025-03-21,941.64,963.65,940.95,960.29,960.29,5905400.00
2025-03-20,950.01,967,945.5,950.84,950.84,4466300.00
2025-03-19,935.77,968,924,959.49,959.49,6662400.00
2025-03-18,940,948.25,916.3,929.98,929.98,6009400.00
2025-03-17,939.95,967.63,934.42,950.02,950.02,7543100.00
2025-03-14,901.46,919.63,901,918,918,5200700.00
2025-03-13,913,921.89,887.51,890.17,890.17,5001700.00
2025-03-12,914.6,927.18,901,919.68,919.68,6865800.00
2025-03-11,867.41,910.68,866,895.1,895.1,7398900.00
2025-03-10,875.07,881.27,854.5,866.68,866.68,6995300.00
2025-03-07,897.64,904.89,858.07,891.11,891.11,7737500.00
